0.500000 0.000000 | 7.068553 10.663331 0.023090
0.642857 0.000000 | 5.202690 4.055838 0.014241
0.785714 0.000000 | 4.192771 2.214967 0.010524
0.928571 0.000000 | 3.609769 1.074033 0.007328
1.071429 0.000000 | 3.349925 0.608507 0.005516
1.214286 0.000000 | 3.200399 0.340733 0.004128
1.357143 0.000000 | 3.152168 0.250707 0.003541
1.500000 0.000000 | 3.108422 0.279789 0.003740
1.642857 0.000000 | 3.116472 0.342821 0.004140
1.785714 0.000000 | 3.199686 0.444174 0.004713
1.928571 0.000000 | 3.277128 0.582757 0.005398
2.071429 0.000000 | 3.404049 0.769564 0.006203
2.214286 0.000000 | 3.486915 0.949513 0.006890
2.357143 0.000000 | 3.555039 1.385939 0.008324
2.500000 0.000000 | 3.641347 1.656242 0.009100
0.500000 0.035714 | 6.043906 6.043969 0.017384
0.642857 0.035714 | 4.317605 2.362163 0.010868
0.785714 0.035714 | 3.726071 1.284735 0.008015
0.928571 0.035714 | 3.357161 0.611678 0.005530
1.071429 0.035714 | 3.219655 0.329618 0.004060
1.214286 0.035714 | 3.149390 0.193925 0.003114
1.357143 0.035714 | 3.082804 0.187688 0.003063
1.500000 0.035714 | 3.077131 0.262114 0.003620
1.642857 0.035714 | 3.172515 0.314019 0.003962
1.785714 0.035714 | 3.221469 0.440060 0.004691
1.928571 0.035714 | 3.254099 0.766062 0.006189
2.071429 0.035714 | 3.376854 0.885824 0.006655
2.214286 0.035714 | 3.460445 1.132092 0.007524
2.357143 0.035714 | 3.525834 1.555198 0.008818
2.500000 0.035714 | 3.781446 1.655704 0.009099
0.500000 0.071429 | 4.756967 3.575933 0.013371
0.642857 0.071429 | 3.798349 1.576362 0.008878
0.785714 0.071429 | 3.471484 0.914138 0.006761
0.928571 0.071429 | 3.294132 0.405737 0.004504
1.071429 0.071429 | 3.155988 0.202330 0.003181
1.214286 0.071429 | 3.071628 0.141062 0.002656
1.357143 0.071429 | 3.058841 0.167936 0.002898
1.500000 0.071429 | 3.095147 0.218280 0.003304
1.642857 0.071429 | 3.176850 0.326909 0.004043
1.785714 0.071429 | 3.257317 0.543312 0.005212
1.928571 0.071429 | 3.301860 0.754690 0.006143
2.071429 0.071429 | 3.450854 0.949396 0.006890
2.214286 0.071429 | 3.494665 1.366774 0.008267
2.357143 0.071429 | 3.631164 1.749174 0.009352
2.500000 0.071429 | 3.822799 1.777007 0.009426
0.500000 0.107143 | 4.284497 2.762768 0.011753
0.642857 0.107143 | 3.817836 1.354319 0.008229
0.785714 0.107143 | 3.332265 0.654901 0.005722
0.928571 0.107143 | 3.210839 0.295590 0.003844
1.071429 0.107143 | 3.069797 0.138130 0.002628
1.214286 0.107143 | 3.054920 0.095347 0.002183
1.357143 0.107143 | 3.045687 0.163710 0.002861
1.500000 0.107143 | 3.120460 0.242589 0.003483
1.642857 0.107143 | 3.181835 0.397541 0.004458
1.785714 0.107143 | 3.246763 0.578400 0.005378
1.928571 0.107143 | 3.385366 0.782762 0.006256
2.071429 0.107143 | 3.499722 0.904959 0.006727
2.214286 0.107143 | 3.587420 1.268685 0.007965
2.357143 0.107143 | 3.655525 1.651282 0.009086
2.500000 0.107143 | 3.909963 1.748904 0.009351
0.500000 0.142857 | 4.224004 2.549847 0.011291
0.642857 0.142857 | 3.626618 1.054887 0.007263
0.785714 0.142857 | 3.289248 0.490520 0.004952
0.928571 0.142857 | 3.121217 0.212704 0.003261
1.071429 0.142857 | 3.033291 0.088010 0.002098
1.214286 0.142857 | 3.033728 0.082004 0.002025
1.357143 0.142857 | 3.073370 0.137355 0.002621
1.500000 0.142857 | 3.099506 0.278927 0.003734
1.642857 0.142857 | 3.201410 0.406118 0.004506
1.785714 0.142857 | 3.323965 0.545208 0.005221
1.928571 0.142857 | 3.422073 0.770348 0.006206
2.071429 0.142857 | 3.418184 1.316955 0.008115
2.214286 0.142857 | 3.617685 1.298060 0.008056
2.357143 0.142857 | 3.858504 1.436234 0.008474
2.500000 0.142857 | 3.891353 1.937962 0.009844
0.500000 0.178571 | 4.198957 2.225445 0.010549
0.642857 0.178571 | 3.478658 0.917773 0.006774
0.785714 0.178571 | 3.231979 0.373795 0.004323
0.928571 0.178571 | 3.073051 0.132803 0.002577
1.071429 0.178571 | 3.031149 0.054231 0.001647
1.214286 0.178571 | 3.031072 0.066461 0.001823
1.357143 0.178571 | 3.070770 0.146085 0.002703
1.500000 0.178571 | 3.112697 0.287920 0.003794
1.642857 0.178571 | 3.234589 0.456088 0.004775
1.785714 0.178571 | 3.349740 0.554439 0.005265
1.928571 0.178571 | 3.444636 0.824142 0.006419
2.071429 0.178571 | 3.506323 1.160864 0.007619
2.214286 0.178571 | 3.693201 1.313658 0.008105
2.357143 0.178571 | 3.736910 1.837121 0.009584
2.500000 0.178571 | 3.950590 1.949026 0.009872
0.500000 0.214286 | 3.855337 1.842840 0.009599
0.642857 0.214286 | 3.477472 0.850858 0.006522
0.785714 0.214286 | 3.150960 0.282331 0.003757
0.928571 0.214286 | 3.062910 0.091770 0.002142
1.071429 0.214286 | 3.013946 0.037252 0.001365
1.214286 0.214286 | 3.037418 0.060812 0.001744
1.357143 0.214286 | 3.080204 0.154482 0.002779
1.500000 0.214286 | 3.138100 0.330410 0.004065
1.642857 0.214286 | 3.248470 0.471418 0.004855
1.785714 0.214286 | 3.333505 0.670758 0.005791
1.928571 0.214286 | 3.465521 0.956809 0.006917
2.071429 0.214286 | 3.568817 1.228962 0.007839
2.214286 0.214286 | 3.660603 1.490189 0.008632
2.357143 0.214286 | 3.783282 1.702361 0.009226
2.500000 0.214286 | 3.909047 2.201882 0.010493
0.500000 0.250000 | 3.822114 1.903101 0.009755
0.642857 0.250000 | 3.378030 0.706207 0.005942
0.785714 0.250000 | 3.133248 0.244832 0.003499
0.928571 0.250000 | 3.016401 0.062678 0.001770
1.071429 0.250000 | 3.008626 0.024134 0.001098
1.214286 0.250000 | 3.032055 0.070746 0.001881
1.357143 0.250000 | 3.101265 0.163752 0.002861
1.500000 0.250000 | 3.113969 0.381948 0.004370
1.642857 0.250000 | 3.244431 0.526560 0.005131
1.785714 0.250000 | 3.360319 0.692014 0.005882
1.928571 0.250000 | 3.454415 0.976037 0.006986
2.071429 0.250000 | 3.629477 1.117106 0.007474
2.214286 0.250000 | 3.654197 1.639305 0.009053
2.357143 0.250000 | 3.836200 2.096652 0.010239
2.500000 0.250000 | 4.054091 2.106355 0.010262
0.500000 0.285714 | 3.598602 1.317470 0.008116
0.642857 0.285714 | 3.385802 0.719639 0.005998
0.785714 0.285714 | 3.145427 0.206471 0.003213
0.928571 0.285714 | 3.019363 0.046344 0.001522
1.071429 0.285714 | 3.001843 0.017100 0.000925
1.214286 0.285714 | 3.031834 0.066090 0.001818
1.357143 0.285714 | 3.109686 0.175921 0.002966
1.500000 0.285714 | 3.130499 0.396941 0.004455
1.642857 0.285714 | 3.275920 0.510207 0.005051
1.785714 0.285714 | 3.410317 0.730524 0.006044
1.928571 0.285714 | 3.493269 1.053302 0.007257
